board_member_or_advisor_dtl_id,org_id,name,role,created_by,created_date,updated_by,updated_date,deleted_by,deleted_date
1,3," Alberto Garuccio ",Advisor,NULL,"2024-06-12 20:16:42",NULL,NULL,NULL,NULL
2,6," Victor Pascucci ","Board Member",NULL,"2024-06-12 20:17:12",NULL,NULL,NULL,NULL
3,8," Stan Miroshnik ","Board Member",NULL,"2024-06-12 20:17:36",NULL,NULL,NULL,NULL
4,8," Sachin Jaitly ","Board Member",NULL,"2024-06-12 20:17:38",NULL,NULL,NULL,NULL
5,8," Jonathan Strike ","Board Member",NULL,"2024-06-12 20:17:40",NULL,NULL,NULL,NULL
6,8," Laurie Katz ",Advisor,NULL,"2024-06-12 20:17:42",NULL,NULL,NULL,NULL
7,8," Michael Cagney ","Board Member",NULL,"2024-06-12 20:17:43",NULL,NULL,NULL,NULL
8,10," Scott Kriens ","Board Member",NULL,"2024-06-12 20:18:03",NULL,NULL,NULL,NULL
9,10," Jim Dolce ","Board Member",NULL,"2024-06-12 20:18:05",NULL,NULL,NULL,NULL
10,10," William Stensrud ","Board Member",NULL,"2024-06-12 20:18:06",NULL,NULL,NULL,NULL
11,10," Janet Haugen ","Board Member",NULL,"2024-06-12 20:18:08",NULL,NULL,NULL,NULL
12,10," Kevin DeNuccio ","Board Member",NULL,"2024-06-12 20:25:27",NULL,NULL,NULL,NULL
13,10," Christine M. Gorjanc ","Board Member",NULL,"2024-06-12 20:25:29",NULL,NULL,NULL,NULL
14,10," Robert Calderoni ","Board Member",NULL,"2024-06-12 20:25:31",NULL,NULL,NULL,NULL
15,10," Mercedes Johnson ","Board Member",NULL,"2024-06-12 20:25:33",NULL,NULL,NULL,NULL
16,26," Ryan Sanders ","Board Member",NULL,"2024-06-13 19:42:11",NULL,NULL,NULL,NULL
